   0.000  -11.695 18L     21-11    428
   3.376   11.695 10M     11-21    228
   3.376  -11.695 18M      21-2    419
   6.752   11.695 10N     11-18    225
   6.752  -11.695 18N     20-21    417
  10.128   11.695 10O      11-9    216
  10.128  -11.695 18O     22-14    452
  13.504   11.695 10P      11-3    210
  13.504  -11.695 18P      22-2    440
  16.880   11.695 10Q     10-12    198
  16.880  -11.695 18Q      23-1    460
  20.256   11.695 10R      9-13    178
  20.256  -11.695 18R      22-9    447
  23.632   11.695 10S       9-6    171
  23.632  -11.695 18S     21-17    434
  27.008   11.695 10T      8-16    160
  27.008  -11.695 18T      23-5    464
  30.384   11.695 10U       8-2    146
  30.384  -11.695 18U     20-13    409
  33.760   11.695 10V      7-18    141
  33.760  -11.695 18V      20-7    403
  37.136   11.695 10W     12-20    248
  37.136  -11.695 18W     17-18    351
 -35.448   14.619 09A     11-17    224
 -35.448  -14.619 19A      18-3    357
 -32.072   14.619 09B      6-11    113
 -32.072  -14.619 19B      17-1    334
 -28.696   14.619 09C       7-2    125
 -28.696  -14.619 19C      21-3    420
 -25.320   14.619 09D      7-16    139
 -25.320  -14.619 19D     20-19    415
 -21.944   14.619 09E       8-4    148
 -21.944  -14.619 19E     22-15    453
 -18.568   14.619 09F      8-15    159
 -18.568  -14.619 19F      22-1    439
 -15.192   14.619 09G      9-10    175
 -15.192  -14.619 19G      23-6    465
 -11.816   14.619 09H      9-12    177
 -11.816  -14.619 19H     22-13    451
  -8.440   14.619 09I      9-15    180
  -8.440  -14.619 19I     23-15    474
  -5.064   14.619 09J      9-21    186
  -5.064  -14.619 19J     23-20    479
  -1.688   14.619 09K     10-13    199
  -1.688  -14.619 19K     21-18    435
   1.688   14.619 09L     10-10    196
   1.688  -14.619 19L     23-13    472
   5.064   14.619 09M      10-6    192
   5.064  -14.619 19M     23-10    469
   8.440   14.619 09N      10-1    187
   8.440  -14.619 19N      24-3    483
  11.816   14.619 09O      9-19    184
  11.816  -14.619 19O     21-15    432
  15.192   14.619 09P       9-8    173
  15.192  -14.619 19P      22-7    445
  18.568   14.619 09Q      8-19    163
  18.568  -14.619 19Q     22-20    458
  21.944   14.619 09R      8-12    156
  21.944  -14.619 19R      21-9    426
  25.320   14.619 09S       7-9    132
  25.320  -14.619 19S     22-12    450
  28.696   14.619 09T       7-4    127
  28.696  -14.619 19T      21-1    418
  32.072   14.619 09U      6-16    118
  32.072  -14.619 19U     18-16    370
  35.448   14.619 09V      12-4    232
  35.448  -14.619 19V      17-5    338
 -33.760   17.542 08A     10-17    203
